Date,Nominal.GDP,Corporate.Profits,Statistical.Discrepancy,Dividends,Foreign.Saving,Personal.Savings,Net.Govt.Saving,Consumption.of.Fixed.Capital,Gross.Domestic.Investment,Net.Investment
1983-06-30,1,0.057921711120449935,0.014588213860996612,0.026593473654092044,-0.00772203792952369,0.07075489095932547,-0.0624293068607552,0.15621814617441143,0.21818054301272366,0.06196239683831222
1983-09-30,1,0.058402425038199555,0.020489924723088793,0.026482857025912812,-0.012986358211406928,0.06853503177807312,-0.06329402829193162,0.15346747880761547,0.22410406217751971,0.07063658336990425
1983-12-31,1,0.06088271397046306,0.018187443243297373,0.026165926951916697,-0.014960315766228003,0.07208568990588467,-0.054579985906681575,0.15098192060201765,0.23635427882950616,0.0853723582274885
1984-03-31,1,0.06328085538224396,0.010726054450629392,0.02568567373941097,-0.020095935214815352,0.07909384056617437,-0.04701802994533852,0.14898617061074385,0.24947992018534032,0.10049374957459646
1984-06-30,1,0.06248302511895822,0.011660511856416636,0.02537634043886162,-0.021928865241204798,0.08023167392466232,-0.046960532980713045,0.14751916711912233,0.2514876168476614,0.10396844972853907
1984-09-30,1,0.06326375711574952,0.010737589520719838,0.024962967497092488,-0.02214311073024423,0.0835739731896921,-0.04961229111832038,0.14768341800820226,0.25282634510620067,0.1051429270979984
1984-12-31,1,0.06434584027049443,0.00799267021184023,0.025075502265730854,-0.024929186118237426,0.08029502349133467,-0.05113014158437488,0.14864684078850662,0.24999981921398576,0.10135297842547915
1985-03-31,1,0.0629868600963366,0.009254242384699615,0.025728056190676116,-0.021136512781525466,0.06589643721005879,-0.04029367155157904,0.1474288964409924,0.2406854763215078,0.09325657988051539
1985-06-30,1,0.06320562100935369,0.01083590790630813,0.02587262482109541,-0.025928738055273633,0.07329249873163136,-0.05172359598750794,0.14774800827123044,0.2434138546602041,0.09566584638897367
1985-09-30,1,0.06440656947601345,0.013897231518476109,0.025667386937961,-0.027645834420882958,0.05812883411108803,-0.046484967423661996,0.14707052313853486,0.23899390280737115,0.0919233796688363
1985-12-31,1,0.059726234413583504,0.0156720357400181,0.02574945534455392,-0.030414973220638446,0.0637304251440226,-0.047273302499902116,0.14787671007858968,0.24439717071691103,0.09652046063832134
1986-03-31,1,0.055610446918228335,0.015151199207434778,0.026751294506924962,-0.028466951529916185,0.0670512660679244,-0.04541433316755008,0.14822642236041927,0.2423424330740696,0.09411601071365032
1986-06-30,1,0.05201437076214321,0.016844284475968793,0.026992260204957163,-0.031210206497203727,0.06828488077899562,-0.05121069050940084,0.14958528954929665,0.23973564133816172,0.09015035178886507
1986-09-30,1,0.048821866327637686,0.020060468753289352,0.02642746256295754,-0.032602168254707534,0.06065756893561582,-0.05095179362927329,0.14995716923242533,0.2347189001640526,0.08476173093162727
1986-12-31,1,0.04609901136351193,0.01762635779979805,0.025603166591055916,-0.03226879267060243,0.05640683549799071,-0.04452696619974076,0.15074650675118464,0.23301500957461813,0.08226850282343348
1987-03-31,1,0.048317971706144394,0.014757454010413886,0.02469528749156106,-0.031964212956962876,0.06142109663467281,-0.04573440606367092,0.15090564564152475,0.2369360520914599,0.08603040644993513
1987-06-30,1,0.052650140652828865,0.00973063734873579,0.024197280157131684,-0.03212210995888609,0.045136033756678934,-0.03132542403914976,0.1505921567321937,0.23470795812041217,0.08411580138821848
1987-09-30,1,0.05569432629993929,0.003972521550069556,0.02461698148551915,-0.031538389884032424,0.050051847097637346,-0.035006873707021414,0.1506945873267882,0.2323265886042843,0.08163200127749608
1987-12-31,1,0.05574846934720769,0.007700089097550836,0.025223273031077915,-0.03135147526135215,0.05808952646508762,-0.0365192130821243,0.14957805460629547,0.24072532834504196,0.09114727373874648
1988-03-31,1,0.05601599882681577,0.001017666356813575,0.026310706173330086,-0.025006445417367382,0.058261251096903596,-0.035488231495738924,0.150551152172559,0.22905751835268534,0.07850636618012635
1988-06-30,1,0.055883234721300586,0.0026209837465481934,0.02716146862950469,-0.021186172889744885,0.060923854863434476,-0.03348512418796324,0.14984096449427325,0.22980938860539696,0.07996842411112372
1988-09-30,1,0.0543867071373609,-5.118463855108101e-4,0.028395548980802918,-0.020151490629557803,0.06217741042451638,-0.030435362830752804,0.1498004385902645,0.22717120636930738,0.07737076777904288
1988-12-31,1,0.05673960354543348,-8.824876484139576e-4,0.029184505480035313,-0.022152940202525822,0.060780896929702316,-0.031558610236597444,0.14911244707620638,0.22715658034832428,0.07804413327211791
1989-03-31,1,0.052626689429790284,0.003147922985934415,0.030660541259855068,-0.019358937069301665,0.06433509766290897,-0.027004203944184745,0.14850125733658026,0.23030933256012742,0.08180807522354715
