Date,Nominal GDP,Corporate Profits,Statistical Discrepancy,Dividends,Foreign Saving,Personal Savings,Net Govt Saving,Consumption of Fixed Capital,Gross Domestic Investment,Net Investment
2020-03-31,21706.513,1993.806,-63.151,1460.081,-393.973,1504.369,-1326.825,3570.117,4612.208,1042.0909999999994
2020-06-30,19913.143,1784.979,113.786,1453.415,-510.973,4423.657,-4914.796,3603.15,4068.334,465.18399999999974
2020-09-30,21647.64,2386.835,365.491,1479.552,-648.965,2654.386,-3508.933,3640.341,4707.533,1067.1920000000005
2020-12-31,22024.502,2137.581,-183.285,1593.875,-724.975,2131.883,-2034.652,3688.585,4871.213,1182.6279999999997
2021-03-31,22600.185,2401.029,-72.279,1658.847,-729.107,3889.697,-4170.182,3736.358,4854.883,1118.5249999999996
2021-06-30,23292.362,2596.3,13.171,1789.612,-821.251,1888.618,-2512.366,3819.003,4836.365,1017.3619999999996
2021-09-30,23828.973,2553.273,-3.817,1878.564,-916.84,1552.125,-2006.5,3916.635,5049.992,1133.357
2021-12-31,24654.603,2521.928,41.006,1931.94,-924.069,1151.639,-1297.173,4021.37,5430.898,1409.5280000000002
2022-03-31,25029.116,2497.942,-112.89,1932.887,-1115.137,703.749,-796.959,4140.864,5614.955,1474.0910000000003
2022-06-30,25544.273,2712.562,-151.505,1920.657,-1011.086,552.414,-866.543,4260.218,5597.576,1337.3580000000002
2022-09-30,25994.639,2754.569,-155.026,1855.613,-934.571,612.615,-1052.333,4368.183,5606.965,1238.7820000000002
2022-12-31,26408.405,2700.084,210.247,1839.847,-882.506,622.428,-1291.573,4430.282,5714.126,1283.844
2023-03-31,26813.601,2588.597,328.176,1840.205,-872.561,948.202,-1737.091,4507.407,5667.645,1160.2380000000003
2023-06-30,27063.012,2601.809,437.279,1855.787,-837.196,1027.551,-1850.427,4557.018,5754.639,1197.621
2023-09-30,27610.128,2697.929,640.478,1837.596,-820.883,863.889,-1877.339,4611.463,5919.708,1308.245
2023-12-31,27956.998,2803.162,632.96,1861.432,-794.265,759.752,-1792.363,4667.259,6003.604,1336.3450000000003
2024-03-31,28255.928,2754.517,620.827,1893.613,-857.227,796.608,-1782.697,4711.837,6064.706,1352.8689999999997
